

UB BASIC GSM KPIs(Cluster-CELL)
Save Time :2023-02-10 08:22:50
User Name :HW_RF_NASTAR

Date,GCell Group,Integrity,TCH Availability%_South,Total SDCCH Traffic (Erl)_South,Total TCH Traffic (Erl)_South,VAMOS Traffic,TCH AMR-FR Traffic (Erl)_South,TCH AMR-HR Traffic (Erl)_South,SDCCH Blocking%_South,TCH Blocking% (Call Setup)_South,TCH Blocking% (Mobility - InterCell HO)_South,DCR%_South,CSSR_Non Blocking,HSR%_South,In-HSR%_South,Out-HSR%_South,DL RxQual Index%_South,UL RxQual Index%_South,CEFR,SDCCH DR%_South,Total TCH Drops_South,Call Drop due to ABIS terrestrial link_South,Interference Band 345,K3001:Failed SDCCH Seizures due to Busy SDCCH,K3011A:Failed TCH Seizures due to Busy TCH (Traffic Channel),Initially Configured SDCCH_South,1800 TRX Count,900 TRX Count,"A3129B:Failed Assignments (First Assignment, Terrestrial Resource Request Failed)"
2023-01-31,KOHAT_CLUSTER_02_Rural,100%,93.9532,15184.7301,109213.2991,11787.6157,14584.7177,93470.0241,0.2493,2.252,2.6884,0.7116,99.5533,97.4159,97.4214,97.4104,97.8849,99.1201,0.4166,0.0302,43766,1593,4.9738,26398,71907,10873,796,983,140
2023-01-31,2G_USF_NPM_North,100%,96.456,12606.2051,84798.802,12838.2012,7964.3239,75135.7112,0.0932,5.4635,4.1092,1.1283,99.293,96.9441,96.9197,96.9685,97.659,98.7407,0.5913,0.1164,45197,307,2.1371,7825,129635,7989,447,749,1975
2023-02-01,BANNU_CLUSTER_01_Rural,84%,94.8425,38165.1037,211888.9068,23229.3539,24343.5592,181401.1504,2.3781,5.614,4.0049,1.0374,98.6317,96.4635,96.464,96.4631,96.6785,98.6555,1.2806,0.0888,121836,1541,10.5798,545745,407055,24558,1676,1842,357
2023-02-01,KOHAT_CLUSTER_01_Rural,100%,99.0899,8203.9188,63899.947,3957.4261,15533.3258,47741.0908,0.0258,0.0608,0.5337,0.3602,99.7351,97.5804,97.5442,97.6165,98.3814,99.5274,0.2357,0.0293,13353,175,3.7532,1657,1099,6418,575,597,885
2023-02-01,KOHAT_CLUSTER_01_Urban,100%,99.872,2006.2678,14148.0315,1067.7356,2801.6989,11309.6811,0.0001,0.2609,0.0195,0.3672,99.836,98.057,98.2426,97.8665,98.6701,99.5874,0.1601,0.0039,3211,0,7.4898,1,1219,1427,125,123,3
2023-02-01,KOHAT_CLUSTER_02_Rural,100%,95.2711,15044.8216,112404.3641,12487.1684,15001.6174,96209.0913,0.2407,1.65,1.8596,0.6414,99.5784,97.4781,97.4768,97.4795,97.9316,99.1872,0.3921,0.0296,40875,1380,4.8123,25941,53486,10872.6667,796,983,119
2023-02-01,2G_USF_NPM_North,99%,96.5398,12566.0955,85322.9979,13219.4403,8061.7066,75503.8875,0.1572,5.1293,4.1745,1.0925,99.3604,97.056,97.0388,97.0732,97.6359,98.744,0.535,0.1051,44317,878,2.1817,13261,122403,7997,449,750,1512
2023-02-02,BANNU_CLUSTER_01_Rural,100%,96.1057,35218.8572,236549.2048,24371.0987,28180.1234,202342.4036,0.9389,4.8273,4.0515,0.9015,98.947,96.3999,96.3968,96.4029,96.7484,98.7864,1.0255,0.0278,116006,1439,9.5111,217740,375456,24557.3333,1676,1842,383
2023-02-02,KOHAT_CLUSTER_01_Rural,100%,99.5799,8177.53,64649.0406,4042.9422,15755.9781,48264.6938,0.0245,0.0586,0.679,0.3492,99.7309,97.5971,97.5682,97.6259,98.3813,99.5134,0.2392,0.03,13168,104,3.8594,1570,1084,6418,575,597,333
2023-02-02,KOHAT_CLUSTER_01_Urban,100%,100,2079.372,14643.8261,1129.6063,2780.9008,11828.9051,0,0.3935,0.042,0.3646,99.805,98.0269,98.1635,97.8865,98.6737,99.5818,0.1906,0.0045,3392,0,7.7814,0,1949,1427,125,123,1
